Date,Value
2015-01-31,2798.930747554301
2015-02-28,2824.110289721986
2015-03-31,2835.532496351464
2015-04-30,2844.2085022613664
2015-05-31,2860.3682538466446
2015-06-30,2852.7498530688795
2015-07-31,2875.4793979384885
2015-08-31,2863.85405484922
2015-09-30,2891.1372179970663
2015-10-31,2900.716431596869
2015-11-30,2926.3873637049
2015-12-31,2916.2167417858486
2016-01-31,2919.461267081474
2016-02-29,2918.3179987034114
2016-03-31,2914.0850396416427
2016-04-30,2908.580882049512
2016-05-31,2895.2071645982346
2016-06-30,2905.8749605246344
2016-07-31,2895.2478776952817
2016-08-31,2905.3687760333055
2016-09-30,2900.4425102230653
2016-10-31,2908.244923410771
2016-11-30,2899.814987307522
2016-12-31,2898.7272898185515
2017-01-31,2901.473762713634
2017-02-28,2911.8903638753395
2017-03-31,2921.064167030344
2017-04-30,2926.7230574896917
2017-05-31,2919.3868932858295
2017-06-30,2914.2308320516563
2017-07-31,2916.4361487528136
2017-08-31,2923.898110148636
2017-09-30,2914.2356200834797
2017-10-31,2916.34470951161
2017-11-30,2908.492738906156
2017-12-31,2934.4249194802164
2018-01-31,2932.5616527339803
2018-02-28,2925.7953655515703
2018-03-31,2917.1727772714685
2018-04-30,2913.956399653515
2018-05-31,2938.1212404640396
2018-06-30,2941.4910086609216
2018-07-31,2951.284397788282
2018-08-31,2943.061472770531
2018-09-30,2953.557210206278
2018-10-31,2954.212100315695
2018-11-30,2974.4541003116356
2018-12-31,2969.664753672371
2019-01-31,2961.4890321875087
2019-02-28,2967.405226292824
2019-03-31,2977.6273166353676
2019-04-30,2986.1602201951237
2019-05-31,2981.848258216781
2019-06-30,2988.9486518646754
2019-07-31,2991.521213279688
2019-08-31,3002.702229796369
2019-09-30,3010.395649136623
2019-10-31,3018.626984419455
2019-11-30,3020.213196070699
2019-12-31,3025.126627415539
2020-01-31,3045.6745765035776
2020-02-29,3057.45338111704
2020-03-31,3076.003001006737
2020-04-30,3046.6371486111284
2020-05-31,3015.7444241137077
2020-06-30,2983.172754482544
2020-07-31,2960.8807731993124
2020-08-31,2936.254793458056
2020-09-30,2905.229286469562
2020-10-31,2869.415787654277
2020-11-30,2837.274879300058
2020-12-31,2818.646042767865
2021-01-31,2821.5246300911003
2021-02-28,2817.636737940314
2021-03-31,2822.9619138030203
2021-04-30,2831.5422479795893
2021-05-31,2865.0092726400194
2021-06-30,2904.8097962284182
2021-07-31,2942.9674626583906
2021-08-31,2988.114251124326
2021-09-30,3034.763640668723
2021-10-31,3094.7139670144215
2021-11-30,3154.6459090104468
2021-12-31,3197.2523537158436
2022-01-31,3244.8612047618094
2022-02-28,3292.294712828215
2022-03-31,3328.9708393821184
2022-04-30,3359.422285961712
2022-05-31,3396.5770941759793
2022-06-30,3441.961922425433
2022-07-31,3487.732020454169
2022-08-31,3505.409731708011
2022-09-30,3520.136149291848
2022-10-31,3541.2692832533453
2022-11-30,3563.509105209546
2022-12-31,3594.1251102394094
2023-01-31,3604.1551973326086
2023-02-28,3620.45607206496
2023-03-31,3640.4448237769975
2023-04-30,3672.3862400309977
2023-05-31,3684.7141967693824
2023-06-30,3685.954205621564
2023-07-31,3685.266105249488
2023-08-31,3702.1693028557625
2023-09-30,3721.3302151850535
