Date,Value
2015-01-31,1250.8243189662712
2015-02-28,1253.653977128987
2015-03-31,1263.257902539763
2015-04-30,1264.2912653726942
2015-05-31,1270.3908628030304
2015-06-30,1271.2251589416962
2015-07-31,1277.6606866031125
2015-08-31,1278.95607484149
2015-09-30,1281.6540679650684
2015-10-31,1288.697459733189
2015-11-30,1288.9827408170977
2015-12-31,1290.7573453371438
2016-01-31,1284.8438032696165
2016-02-29,1293.9291103764149
2016-03-31,1296.5912829938484
2016-04-30,1304.267789759916
2016-05-31,1306.6141510650657
2016-06-30,1311.810011314016
2016-07-31,1314.537277458449
2016-08-31,1318.4787230001448
2016-09-30,1319.1761080840529
2016-10-31,1318.2543400436894
2016-11-30,1325.0382691062164
2016-12-31,1329.6071715908597
2017-01-31,1337.7639771376687
2017-02-28,1335.9486858102214
2017-03-31,1340.4496210975024
2017-04-30,1342.2581701215572
2017-05-31,1344.1550844375906
2017-06-30,1344.502796064267
2017-07-31,1347.8981087587958
2017-08-31,1352.3731017885011
2017-09-30,1358.556036215738
2017-10-31,1361.5860055362211
2017-11-30,1363.2833199011184
2017-12-31,1368.3494322920274
2018-01-31,1371.4591512796371
2018-02-28,1376.6712338734114
2018-03-31,1378.2636126068403
2018-04-30,1382.5259305788147
2018-05-31,1387.7719955870084
2018-06-30,1390.2871086604655
2018-07-31,1391.487362533447
2018-08-31,1394.6644280793162
2018-09-30,1399.8380120247064
2018-10-31,1408.2369319627005
2018-11-30,1415.3857177339153
2018-12-31,1416.553815626184
2019-01-31,1420.1824162700784
2019-02-28,1422.9579030412244
2019-03-31,1428.281734335636
2019-04-30,1432.1167708260973
2019-05-31,1436.151093494577
2019-06-30,1442.6913733686254
2019-07-31,1449.1162849065472
2019-08-31,1453.400783848237
2019-09-30,1455.953406851772
2019-10-31,1457.7687040598744
2019-11-30,1459.9152293275406
2019-12-31,1465.472529549805
2020-01-31,1469.7285207422517
2020-02-29,1475.2446841804583
2020-03-31,1476.7558521524038
2020-04-30,1474.1612421614557
2020-05-31,1469.7311709561195
2020-06-30,1467.3400524111094
2020-07-31,1468.7980153218623
2020-08-31,1467.556421159083
2020-09-30,1466.7905934754403
2020-10-31,1467.0721101293948
2020-11-30,1470.182679195295
2020-12-31,1472.3587003116572
2021-01-31,1472.794513578039
2021-02-28,1475.9137041908589
2021-03-31,1481.2973725461495
2021-04-30,1493.3404291304655
2021-05-31,1507.4460259401603
2021-06-30,1520.1128301914105
2021-07-31,1531.9263748970209
2021-08-31,1545.8876627961424
2021-09-30,1559.147093112334
2021-10-31,1573.1152058601913
2021-11-30,1583.462170634721
2021-12-31,1599.2497751532983
2022-01-31,1610.5272148905492
2022-02-28,1619.6551781837145
2022-03-31,1624.9412661101398
2022-04-30,1632.3540874473038
2022-05-31,1640.979367699534
2022-06-30,1650.3673663800382
2022-07-31,1655.5294074432377
2022-08-31,1658.4465040785096
2022-09-30,1660.8827886527513
2022-10-31,1664.1815443154003
2022-11-30,1669.071756740081
2022-12-31,1669.2048669063038
2023-01-31,1674.031440427403
2023-02-28,1678.513560244183
2023-03-31,1685.2805530627647
2023-04-30,1687.3289406521037
2023-05-31,1687.3766120844714
2023-06-30,1686.6962189381502
2023-07-31,1688.490365280617
2023-08-31,1691.102021766355
2023-09-30,1693.991887103014
