index,Date,Value
0,2015-01-31,2786.7502704411163
1,2015-02-28,2804.407379180041
2,2015-03-31,2817.7527564070483
3,2015-04-30,2832.771956135684
4,2015-05-31,2839.5970639492157
5,2015-06-30,2847.4950940748413
6,2015-07-31,2853.083084864095
7,2015-08-31,2861.460773098707
8,2015-09-30,2871.334280369203
9,2015-10-31,2880.677762845824
10,2015-11-30,2887.8665727517596
11,2015-12-31,2892.6807118977727
12,2016-01-31,2894.485920047538
13,2016-02-29,2896.264305738218
14,2016-03-31,2895.9837806798996
15,2016-04-30,2897.230744826492
16,2016-05-31,2898.0216577414417
17,2016-06-30,2900.6717665719575
18,2016-07-31,2905.4654120373298
19,2016-08-31,2908.23143075945
20,2016-09-30,2911.8234672277295
21,2016-10-31,2916.842423354019
22,2016-11-30,2923.7845475994563
23,2016-12-31,2922.5527991864637
24,2017-01-31,2926.1238524758364
25,2017-02-28,2923.98418356878
26,2017-03-31,2929.8278938527183
27,2017-04-30,2927.653558903085
28,2017-05-31,2934.0406719713656
29,2017-06-30,2937.648846721223
30,2017-07-31,2940.484025700031
31,2017-08-31,2940.656137408745
32,2017-09-30,2938.652198160482
33,2017-10-31,2934.6530062213424
34,2017-11-30,2932.6954882521736
35,2017-12-31,2936.12580805383
36,2018-01-31,2943.2881337233816
37,2018-02-28,2949.859878015717
38,2018-03-31,2956.144227681361
39,2018-04-30,2964.244843106675
40,2018-05-31,2969.5637009408283
41,2018-06-30,2973.8269178715072
42,2018-07-31,2978.939629278399
43,2018-08-31,2986.459947849636
44,2018-09-30,2995.100046001125
45,2018-10-31,3000.5646005737126
46,2018-11-30,3008.72970831713
47,2018-12-31,3016.154146908392
48,2019-01-31,3022.9015296351668
49,2019-02-28,3028.556266488174
50,2019-03-31,3033.611076092712
51,2019-04-30,3041.3963462169236
52,2019-05-31,3048.1668420333035
53,2019-06-30,3057.3455632740342
54,2019-07-31,3066.606957787684
55,2019-08-31,3076.259416230542
56,2019-09-30,3086.575579965691
57,2019-10-31,3100.686404251637
58,2019-11-30,3112.1830255303335
59,2019-12-31,3124.0910487173087
60,2020-01-31,3134.6428436853544
61,2020-02-29,3148.405424548941
62,2020-03-31,3138.3726045791395
63,2020-04-30,3085.7771828769105
64,2020-05-31,3031.4285804512742
65,2020-06-30,2978.833158749045
66,2020-07-31,2924.484556323409
67,2020-08-31,2870.135953897772
68,2020-09-30,2817.5405321955436
69,2020-10-31,2763.191929769907
70,2020-11-30,2741.9875828633553
71,2020-12-31,2736.883992002388
72,2021-01-31,2734.710108321244
73,2021-02-28,2740.3688657766215
74,2021-03-31,2755.984700074977
75,2021-04-30,2784.919127877015
76,2021-05-31,2826.284529432833
77,2021-06-30,2880.5015945855175
78,2021-07-31,2947.963216856514
79,2021-08-31,3024.7006440906875
80,2021-09-30,3103.5311488675193
81,2021-10-31,3169.8859622777645
82,2021-11-30,3237.838206937022
83,2021-12-31,3289.656074607235
84,2022-01-31,3337.25576750977
85,2022-02-28,3374.0389061435203
86,2022-03-31,3408.894610161099
87,2022-04-30,3441.084547842618
88,2022-05-31,3473.8163740676614
89,2022-06-30,3507.1510818837046
90,2022-07-31,3533.666868044558
91,2022-08-31,3556.147498889024
92,2022-09-30,3567.802491372516
93,2022-10-31,3585.350996534997
94,2022-11-30,3592.0082902268737
95,2022-12-31,3603.409991765898
96,2023-01-31,3617.149037049292
97,2023-02-28,3633.35732990952
98,2023-03-31,3646.515817668472
99,2023-04-30,3657.414579963788
100,2023-05-31,3662.6892812716096
101,2023-06-30,3660.470781582728
102,2023-07-31,3653.666150663272
103,2023-08-31,3645.76612760334
104,2023-09-30,3643.1978045953906
